Class,Genes
Bone,"AMELX, AMG, AIH1, AMGX"
Bone,"DLX3, TDO"
Bone,ENAM
Bone,"KLK4, EMSP1, PRSS17"
Neurological,"SIAT9, ST3GALV"
Hematological,AMPD3
Neurological,"TTR, PALB"
Neurological,APOA1
Neurological,"APP, AAA, CVAP, AD1"
Neurological,GSN
Neurological,FGA
Neurological,LYZ
Neurological,"TTR, PALB"
Neurological,"VAPB, VAPC, ALS8"
Neurological,"SOD1, ALS1"
Neurological,"ALS2, ALSJ, PLSJ, IAHSP"
Neurological,DCTN1
Neurological,NEFH
Neurological,PRPH
Hematological,ALB
Unclassified,MC1R
Gastrointestinal,"SARA2, SAR1B, CMRD"
Endocrine,"AR, DHTR, TFM, SBMA, KD, SMAX1"
Hematological,"CDAN1, CDA1"
Hematological,"RPS19, DBA"
Hematological,"PKLR, PK1"
Hematological,"NT5C3, UMPH1, PSN1"
Hematological,"RHAG, RH50A"
Hematological,NRAMP2
Hematological,SPTB
Hematological,"ALAS2, ANH1, ASB"
Hematological,"ABCB7, ABC7, ASAT"
Unclassified,COL3A1
Developmental,"MECP2, RTT, PPMX, MRX16, MRX79"
Developmental,"UBE3A, ANCR"
Immunological,"C1NH, HAE1, HAE2, SERPING1"
Immunological,XPNPEP2
Endocrine,MEN1
Endocrine,"ACE, DCP1, ACE1"
Hematological,HP
Ophthamological,"PAX6, AN2, MGDA"
Connective tissue,HLA-B
Ophthamological,"SOX2, ANOP3"
Nutritional,HTR2A
Ophthamological,"EYA1, BOR"
Ophthamological,"FOXE3, FKHL12, ASMD"
Ophthamological,"FOXC1, FKHL7, FREAC3"
Ophthamological,PITX3
Hematological,AT3
Unclassified,POR
Psychiatric,"SLC6A4, HTT, OCD1"
Cardiovascular,"FBN1, MFS1, WMS"
Connective tissue,"FGFR2, BEK, CFD1, JWS"
Gastrointestinal,FGF10
Hematological,IFNG
Hematological,"TERC, TRC3, TR"
Hematological,"TERT, TCS1, EST2"
Unclassified,"BCHE, CHE1"
Metabolic,APOA1
Metabolic,APOA2
Metabolic,APOC3
Metabolic,APOH
Bone,"HSD11B2, HSD11K"
Unclassified,"AQP1, CHIP28, CO"
Gastrointestinal,VPS33B
Metabolic,ARG1
Metabolic,ASL
Metabolic,"CYP19A1, CYP19, ARO"
Metabolic,DDC
Cardiovascular,"RYR2, VTSIP"
Cardiovascular,"DSP, KPPS2, PPKS2"
Cardiovascular,"PKP2, ARVD9"
Developmental,"TPM2, TMSB, AMCD1, DA1"
Developmental,"TNNI2, AMCD2B, DA2B, FSSV"
Bone,"WISP3, PPAC, PPD"
Developmental,"TNNT3, AMCD2B, DA2B, FSSV"
Metabolic,AGA
Psychiatric,NLGN3
Psychiatric,"NLGN4, KIAA1260, AUTSX2"
Respiratory,"PHF11, NYREN34"
Respiratory,"MS4A2, FCER1B"
Respiratory,ALOX5
Respiratory,ADRB2
Respiratory,"PTGDR, AS1"
Respiratory,"GPR154, GPRA, VRR1, PGR14"
Respiratory,HNMT
Respiratory,"IL12B, NKSF2"
Respiratory,"IL13, ALRH"
Respiratory,"PLA2G7, PAFAH"
Respiratory,"SCGB3A2, UGRP1"
Respiratory,"TNF, TNFA"
Respiratory,"UGB, CC10, CCSP, SCGB1A1"
Neurological,"ATCAY, CLAC, KIAA1872"
Neurological,"APTX, AOA, AOA1"
Neurological,"CACNB4, EJM"
Neurological,"SETX, SCAR1, AOA2"
Immunological,"ATM, ATA, AT1"
Immunological,"MRE11A, MRE11, ATLD"
Neurological,"TTPA, TTP1, AVED"
Connective tissue,"SLC26A2, DTD, DTDST, D5S1708, EDM4"
Connective tissue,"FLNB, SCT, AOI"
Neurological,"HOXA1, HOX1F, BSAS"
Cardiovascular,ALOX5
Immunological,"SPINK5, LEKTI"
Immunological,"HAVCR1, HAVCR"
Immunological,"PLA2G7, PAFAH"
Immunological,"SELP, GRMP"
Immunological,"IL4R, IL4RA"
Hematological,TF
Cardiovascular,"KCNE2, MIRP1, LQT6"
Cardiovascular,"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB1"
Cardiovascular,GATA4
Cardiovascular,"MYH6, ASD3, MYHCA"
Cardiovascular,"NKX2E, CSX"
Dermatological,"HR, AU"
Cardiovascular,"NKX2E, CSX"
Cardiovascular,"GJA1, CX43, ODDD, SDTY3, ODOD"
Cardiovascular,"CRELD1, AVSD2"
Cardiovascular,"CRELD1, AVSD2"
Psychiatric,"DRD5, DRD1B, DRD1L2"
Psychiatric,GLO1
Psychiatric,"MECP2, RTT, PPMX, MRX16, MRX79"
Psychiatric,NLGN3
Psychiatric,"NLGN4, KIAA1260, AUTSX2"
Immunological,"TNFRSF6, APT1, FAS, CD95, ALPS1A"
Immunological,"TNFRSF6, APT1, FAS, CD95, ALPS1A"
Immunological,"CASP10, MCH4, ALPS2"
Immunological,"CASP8, MCH5"
Immunological,"AIRE, APECED"
Endocrine,"TG, AITD3"
Psychiatric,DRD4
Ophthamological,"FOXC1, FKHL7, FREAC3"
Endocrine,"USP9Y, DFFRY"
Endocrine,"SYCP3, SCP3, COR1"
Endocrine,"FOXE1, FKHL15, TITF2, TTF2"
Unclassified,"PTEN, MMAC1"
Unclassified,"PTEN, MMAC1"
multiple,BBS1
multiple,"ARL6, BBS3"
multiple,BBS7
multiple,BBS2
multiple,"ARL6, BBS3"
multiple,BBS4
multiple,BBS5
multiple,"MKKS, HMCS, KMS, MKS, BBS6"
multiple,"TTC8, BBS8"
Immunological,"TAPBP, TPSN"
Immunological,"TAP2, ABCB3, PSF2, RING11"
Immunological,"MHC2TA, C2TA"
Immunological,RFX5
Immunological,RFXAP
Immunological,RFX5
multiple,"TAZ, EFE2, BTHS, CMD3A, LVNCX"
multiple,"GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
multiple,"SLC12A1, NKCC2"
multiple,"KCNJ1, ROMK1"
multiple,CLCNKB
multiple,BSND
multiple,CLCNKA
multiple,CLCNKB
Cancer,"RASA1, GAP, CMAVM, PKWS"
Cancer,PTCH2
Cancer,"PTCH, NBCCS, BCNS, HPE7"
Cancer,"SMOH, SMO"
multiple,"PTCH, NBCCS, BCNS, HPE7"
Neurological,FTL
Neurological,SLC19A3
Cancer,"BCL7A, BCL7"
Immunological,IFNGR1
multiple,"FGFR2, BEK, CFD1, JWS"
Muscular,"DMD, BMD"
Muscular,MYF6
multiple,"CDKN1C, KIP2, BWS"
multiple,"H19, D11S813E, ASM1, BWS"
multiple,"KCNQ10T1, LIT1"
multiple,"NSD1, ARA267, STO"
Unclassified,"NQO1, DIA4, NMOR1"
Hematological,GP1BA
Hematological,GP1BB
Hematological,GP9
Unclassified,HLA-DPB1
Unclassified,ADRB2
Metabolic,"UPB1, BUP1"
Muscular,"COL6A1, OPLL"
Muscular,COL6A2
Muscular,COL6A3
Ophthamological,"CYP4V2, BCD"
Gastrointestinal,"SLC10A2, NTCP2"
Metabolic,BTD
Psychiatric,"XBP1, XBP2"
Dermatological,"FLCN, BHD"
Cancer,"FGFR3, ACH"
Cancer,"KRAS2, RASK2"
Cancer,RB1
Cancer,HRAS
multiple,"CARD15, NOD2, IBD1, CD, ACUG, PSORAS1"
Hematological,TBXA2R
Hematological,"P2RX1, P2X1"
multiple,"FOXL2, BPES, BPES1, PFRK, POF3"
multiple,"FOXL2, BPES, BPES1, PFRK, POF3"
Ophthamological,"DRD5, DRD1B, DRD1L2"
Hematological,ABO
Hematological,"LU, AU, BCAM"
Hematological,"AQP1, CHIP28, CO"
Hematological,DAF
Hematological,"SLC4A1, AE1, EPB3"
Hematological,"ART4, DO"
Hematological,"GYPC, GE, GPC"
Hematological,AQP3
Hematological,GCNT2
Hematological,"CD44, MDU2, MDU3, MIC4"
Hematological,KEL
Hematological,"SLC14A1, JK, UTE, UT1"
Hematological,"CR1, C3BR"
Hematological,LW
Hematological,"FUT3, LE"
Hematological,"LU, AU, BCAM"
Hematological,"GYPA, MN, GPA"
Hematological,BSG
Hematological,"A4GALT, PK"
Hematological,"B3GALT3, GLCT3, P"
Hematological,RHCE
Hematological,"GYPB, SS, MNS"
Hematological,"SLC4A1, AE1, EPB3"
Hematological,"SLC4A1, AE1, EPB3"
Hematological,XG
Hematological,"ACHE, YT"
Cancer,"RECQL3, RECQ2, BLM, BS"
Ophthamological,"OPN1LW, RCP, CBP, CBBM"
Ophthamological,"OPN1MW, GCP, CBD, CBBM"
Hematological,"FUT1, H, HH"
Hematological,"FUT2, SE"
Bone,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
multiple,"PHF6, BFLS"
Neurological,"HOXA1, HOX1F, BSAS"
Ophthamological,RLBP1
Skeletal,"IHH, BDA1"
Skeletal,"BMPR1B, ALK6"
Skeletal,"ROR2, BDB1, BDB, NTRKR2"
Skeletal,"GDF5, CDMP1"
Skeletal,"HOXD13, HOX4I, SPD"
Skeletal,"HOXD13, HOX4I, SPD"
Ophthamological,"R9AP, RGS9, PERRS"
Ophthamological,"RGS9, PERRS"
Neurological,"EYA1, BOR"
Neurological,"EYA1, BOR"
Neurological,"EYA1, BOR"
Cancer,"CHEK2, RAD53, CHK2, CDS1, LFS2"
Cancer,PIK3CA
Cancer,"PPM1D, WIP1"
Cancer,"SLC22A1L, BWSCR1A, IMPT1"
Cancer,"TP53, P53, LFS1"
Cancer,"BRCA1, PSCP"
Cancer,"BRCA2, FANCD1"
Cancer,TSG101
Cancer,"BRIP1, BACH1, FANCJ"
Cancer,"RAD54L, HR54, HRAD54"
Cancer,"CDH1, UVO"
Cancer,"BRCA2, FANCD1"
Cancer,"AR, DHTR, TFM, SBMA, KD, SMAX1"
Cancer,"KRAS2, RASK2"
Cancer,"RB1CC1, CC1, KIAA0203"
Cancer,PHB
Cancer,"ATM, ATA, AT1"
Cancer,BARD1
Cancer,"CHEK2, RAD53, CHK2, CDS1, LFS2"
Cancer,"RAD51A, RECA"
Cancer,XRCC3
Cancer,"BRCA1, PSCP"
Muscular,"ATP2A1, SERCA1"
Unclassified,PLOD2
Cardiovascular,"SCN5A, LQT3, IVF, HB1, SSS1"
Unclassified,MAOA
Cancer,MYC
multiple,"LEMD3, MAN1"
Ophthamological,"RDS, RP7, PRPH2, PRPH, AVMD, AOFMD"
Immunological,C1QA
Immunological,C1QB
Immunological,C1QG
Immunological,C1S
Immunological,C2
Immunological,IF
Immunological,C3
Immunological,"C4A, C4S"
Immunological,"C4B, C4F"
Immunological,C6
Immunological,C7
Immunological,C8B
Immunological,C9
Immunological,C9
Cancer,"MSH2, COCA1, FCC1, HNPCC1"
Cancer,"MLH1, COCA2, HNPCC2"
Connective tissue,COL1A1
Bone,"FGF23, ADHR, HPDR2, PHPTC"
Bone,GALNT3
Skeletal,"SOX9, CMD1, SRA1"
Skeletal,"SOX9, CMD1, SRA1"
Skeletal,"PRG4, CACP, MSF, SZP, HAPO"
Skeletal,"TGFB1, DPD1, CED"
Metabolic,ASPA
Cancer,FGFR4
Cancer,"MSH6, GTBP, HNPCC5"
Cardiovascular,"RASA1, GAP, CMAVM, PKWS"
Metabolic,CPS1
Metabolic,"PMM2, CDG1"
Metabolic,"MPI, PMI1"
Metabolic,"MGAT2, CDGS2"
Hematological,"CPN1, SCPN, CPN"
Cancer,MEN1
Cancer,"SDHD, PGL1"
Cardiovascular,SCO2
Cardiovascular,"MYL3, CMH8"
Cardiovascular,ACTC
Cardiovascular,"MYH7, CMH1, MPD1"
Cardiovascular,"LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B"
Cardiovascular,"TNNT2, CMH2, CMD1D"
Cardiovascular,"TTN, CMD1G"
Cardiovascular,"DES, CMD1I"
Cardiovascular,"EYA4, DFNA10, CMD1J"
Cardiovascular,"SGCD, SGD, LGMD2F, CMD1L"
Cardiovascular,"CSRP3, CRP3, CLP, CMD1M"
Cardiovascular,"TCAP, LGMD2G, CMD1N"
Cardiovascular,"ABCC9, SUR2"
Cardiovascular,"DMD, BMD"
Cardiovascular,"MYL2, CMH10"
Cardiovascular,"MYH7, CMH1, MPD1"
Cardiovascular,ACTC
Cardiovascular,"CAV3, LGMD1C"
Cardiovascular,"MYH6, ASD3, MYHCA"
Cardiovascular,TNNC1
Cardiovascular,"TNNT2, CMH2, CMD1D"
Cardiovascular,"TPM1, CMH3"
Cardiovascular,TNNI3
Cardiovascular,"MYBPC3, CMH4"
Cardiovascular,"TTN, CMD1G, TMD, LGMD2J"
Cardiovascular,TNNI3
Cardiovascular,COX15
Cardiovascular,"MYL2, CMH10"
Cardiovascular,"MYLK2, MLCK"
Cardiovascular,"PRKAG2, WPWS"
Cardiovascular,"PLN, PLB"
Cardiovascular,"TAZ, EFE2, BTHS, CMD3A, LVNCX"
multiple,"PRKAR1A, TSE1, CNC1, CAR"
multiple,MYH8
Metabolic,"SLC25A20, CACT, CAC"
Metabolic,"SLC22A5, OCTN2, CDSP, SCD"
Unclassified,"TTR, PALB"
Skeletal,"RMRP, RMRPR, CHH"
Ophthamological,"CRYAA, CRYA1"
Ophthamological,"CRYBB2, CRYB2"
Ophthamological,PITX3
Ophthamological,"BFSP2, CP49, CP47"
Ophthamological,"CRYAA, CRYA1"
Ophthamological,"PAX6, AN2, MGDA"
Ophthamological,"CRYBA1, CRYB1"
Ophthamological,"CRYGC, CRYG3, CCL"
Ophthamological,"LIM2, MP19"
Ophthamological,"CRYGD, CRYG4"
Ophthamological,"BFSP2, CP49, CP47"
Ophthamological,"HSF4, CTM"
Ophthamological,"HSF4, CTM"
Ophthamological,"MIP, AQP0"
Ophthamological,"CRYAB, CRYA2, CTPP2"
Ophthamological,CRYBB1
Ophthamological,"CRYGD, CRYG4"
Ophthamological,"CRYBB2, CRYB2"
Ophthamological,"CRYGC, CRYG3, CCL"
Ophthamological,"CRYAA, CRYA1"
Ophthamological,"GJA8, CX50, CAE1"
Ophthamological,"GJA3, CX46, CZP3, CAE3"
Cardiovascular,"CCM1, CAM, KRIT1"
Immunological,"CD59, MIC11"
Immunological,CD8A
Muscular,"RYR1, MHS, CCO"
Muscular,"MYH7, CMH1, MPD1"
Respiratory,GDNF
Respiratory,BDNF
Respiratory,EDN3
Respiratory,"PMX2B, NBPHOX, PHOX2B"
Respiratory,"RET, MEN2A"
Neurological,CP
Neurological,"CACNA1A, CACNL1A4, SCA6"
Neurological,"VLDLR, VLDLRCH"
Neurological,"ABCA1, ABC1, HDLDT1, TGD"
Neurological,CST3
Cardiovascular,"NOTCH3, CADASIL, CASIL"
Neurological,"CCM1, CAM, KRIT1"
Neurological,"C7orf22, CCM2, MGC4067"
Neurological,"PDCD10, TFAR15, CCM3"
Neurological,"SNAP29, CEDNIK"
multiple,"ERCC2, EM9"
multiple,"ERCC5, XPG"
multiple,"ERCC6, CKN2, COFS, CSB"
Metabolic,"CYP27A1, CYP27, CTX"
Unclassified,"SERPINA3, AACT, ACT"
Neurological,"PPT1, CLN1"
Neurological,CLN2
Neurological,"CLN3, BTS"
Neurological,CLN5
Neurological,CLN6
Neurological,"CLN8, EPMR"
Neurological,"PPT1, CLN1"
Cancer,"FGFR3, ACH"
Metabolic,CETP
Metabolic,"ABHD5, CGI58, IECN2, NCIE2"
Neurological,"HSPB1, HSP27, CMT2F"
Neurological,"MPZ, CMT1B, CMTDI3, CHM, DSS"
Neurological,DNM2
Neurological,"HOXD10, HOX4D"
Neurological,"GDAP1, CMT4A, CMT2K, CMT2G"
Neurological,"PMP22, CMT1A, CMT1E, DSS"
Neurological,"MPZ, CMT1B, CMTDI3, CHM, DSS"
Neurological,"LITAF, CMT1C"
Neurological,"EGR2, KROX20"
Neurological,"PMP22, CMT1A, CMT1E, DSS"
Neurological,"NEFL, CMT2E, CMT1F"
Neurological,"KIF1B, CMT2A, CMT2A1"
Neurological,"MFN2, KIAA0214, CMT2A2"
Neurological,"RAB7, CMT2B, PSN"
Neurological,"GARS, SMAD1, CMT2D"
Neurological,"NEFL, CMT2E, CMT1F"
Neurological,"GDAP1, CMT4A, CMT2K, CMT2G"
Neurological,"MPZ, CMT1B, CMTDI3, CHM, DSS"
Neurological,"MPZ, CMT1B, CMTDI3, CHM, DSS"
Neurological,"GDAP1, CMT4A, CMT2K, CMT2G"
Neurological,"GDAP1, CMT4A, CMT2K, CMT2G"
Neurological,"MTMR2, CMT4B1"
Neurological,"SBF2, MTMR13, CMT4B2"
Neurological,"SBF2, MTMR13, CMT4B2"
Neurological,KIAA1985
Neurological,"NDRG1, HMSNL, CMT4D"
Neurological,"GJB1, CX32, CMTX1"
multiple,CHD7
multiple,"TFAP2B, CHAR"
multiple,"CHS1, LYST"
Unclassified,"SH3BP2, CRPM"
Developmental,NSDHL
Metabolic,CHIT
Gastrointestinal,"SLC26A3, DRA, CLD"
Gastrointestinal,"ABCB4, PGY3, MDR3"
Gastrointestinal,"ATP8B1, FIC1, BRIC, PFIC1"
Gastrointestinal,"ABCB4, PGY3, MDR3"
Gastrointestinal,"ATP8B1, FIC1, BRIC, PFIC1"
Gastrointestinal,"ABCB11, BSEP, SPGP, PFIC2"
Gastrointestinal,"ABCB4, PGY3, MDR3"
Gastrointestinal,"HSD3B7, PFIC4"
Metabolic,LIPA
Connective tissue,"ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD"
Skeletal,"GDF5, CDMP1"
Connective tissue,"GNPAT, DHAPAT"
Connective tissue,"EBP, CDPX2, CPXD, CPX"
Connective tissue,"ARSE, CDPX1, CDPXR"
Cancer,EXT1
Cancer,CSMF
Cancer,"EWSR1, EWS"
Neurological,"TITF1, NKX2A, TTF1"
Neurological,"VPS13A, CHAC"
multiple,"TITF1, NKX2A, TTF1"
Ophthamological,"CHM, TCD"
multiple,"PSAP2, PROSAP2, KIAA1650"
Immunological,CYBA
Immunological,NCF1
Immunological,NCF2
Immunological,"CYBB, CGD"
Immunological,"MBL2, MBL, MBP1"
multiple,"ATRX, XH2, XNP, MRXS3, SHS"
Metabolic,"LPL, LIPD"
Gastrointestinal,"SARA2, SAR1B, CMRD"
Gastrointestinal,"SARA2, SAR1B, CMRD"
Respiratory,"DNAI1, CILD1, ICS, PCD"
Respiratory,"DNAH5, HL1, PCD, CILD3"
multiple,"CIAS1, C1orf7, FCU, FCAS"
Gastrointestinal,KRT18
Gastrointestinal,KRT8
Gastrointestinal,KRT18
Gastrointestinal,KRT8
Gastrointestinal,"CIRH1A, NAIC, TEX292, KIAA1988"
Metabolic,ASS
Metabolic,"SLC25A13, CTLN2"
Metabolic,"SLC25A13, CTLN2"
Developmental,"HVEC, PVRL1, PVRR1, PRR1"
Developmental,"MSX1, HOX7, HYD1, OFC5"
Developmental,"TBX22, CPX"
Skeletal,"RUNX2, CBFA1, PEBP2A1, AML3"
Ophthamological,"NDP, ND"
multiple,"ERCC8, CKN1, CSA"
multiple,"ERCC6, CKN2, COFS, CSB"
Metabolic,"CYP2D@, CYP2D, P450C2D"
multiple,"RPS6KA3, RSK2, MRX19"
multiple,COH1
Unclassified,"ABCB1, PGY1, MDR1"
Immunological,"CIAS1, C1orf7, FCU, FCAS"
multiple,"CRLF1, CISS"
Ophthamological,"PAX6, AN2, MGDA"
Ophthamological,"SHH, HPE3, HLP3, SMMCI"
Cancer,RAD54B
Cancer,"RAD54L, HR54, HRAD54"
Cancer,BCL10
Cancer,"PTPN12, PTPG1"
Cancer,"TGFBR2, HNPCC6"
Cancer,"SRC, ASV, SRC1"
Cancer,"MLH3, HNPCC7"
Cancer,"PTPRJ, DEP1"
Cancer,ODC1
Gastrointestinal,"RET, MEN2A"
Ophthamological,"OPN1MW, GCP, CBD, CBBM"
Ophthamological,"OPN1LW, RCP, CBP, CBBM"
Ophthamological,"OPN1SW, BCP, CBT"
Cancer,MUTYH
Cancer,AXIN2
Cancer,"BUB1B, BUBR1"
Cancer,EP300
Cancer,"PDGFRL, PDGRL, PRLTS"
Cancer,PIK3CA
Cancer,"TP53, P53, LFS1"
Cancer,"APC, GS, FPC"
Cancer,BAX
Cancer,CTNNB1
Cancer,DCC
Cancer,MCC
Cancer,NRAS
Cancer,"MSH2, COCA1, FCC1, HNPCC1"
Cancer,"MLH1, COCA2, HNPCC2"
Cancer,"PMS1, PMSL1, HNPCC3"
Cancer,"PMS2, PMSL2, HNPCC4"
Cancer,"MSH6, GTBP, HNPCC5"
Cancer,"TGFBR2, HNPCC6"
Cancer,"FGFR3, ACH"
Cancer,"FLCN, BHD"
Cancer,"MLH3, HNPCC7"
Cancer,BRAF
Cancer,DLC1
Cancer,"PLA2G2A, PLA2B, PLA2L, MOM1"
Cancer,"CCND1, PRAD1, BCL1"
Cancer,BUB1
Immunological,C6
Hematological,"LMAN1, ERGIC53, F5F8D, MCFD1"
Metabolic,"LPL, LIPD"
Immunological,"IL2RG, SCIDX1, SCIDX, IMD4"
multiple,"GFM1, EFG1, GFM"
Metabolic,"PSAP, SAP1"
multiple,NDUFS6
multiple,"ATPAF2, ATP12"
Ophthamological,"RPGR, RP3, CRD, RP15, COD1"
Ophthamological,"GUCA1A, GCAP"
Ophthamological,"RPGR, RP3, CRD, RP15, COD1"
Ophthamological,"ABCA4, ABCR, STGD1, FFM, RP19"
Ophthamological,"AIPL1, LCA4"
Ophthamological,"GUCY2D, GUC2D, LCA1, CORD6"
Ophthamological,"RPGRIP1, LCA6, CORD9"
Ophthamological,"CRX, CORD2, CRD"
Unclassified,"CFTR, ABCC7, CF, MRP7"
Ophthamological,"CTDP1, FCP1, CCFDN"
Metabolic,ALG6
Metabolic,"ALG3, NOT56L, CDGS4"
Metabolic,"DPM1, MPDS, CDGIE"
Metabolic,"MPDU1, SL15, CDGIF"
Metabolic,ALG12
Metabolic,ALG8
Metabolic,"ALG2, CDGII"
Metabolic,"DIBD1, ALG9"
Metabolic,"SLC35C1, FUCT1"
Metabolic,"B4GALT1, GGTB2, GT1, GTB"
Metabolic,"COG7, CDG2E"
Metabolic,"DPAGT2, DGPT"
Metabolic,"ALG1, HMAT1, HMT1"
Cardiovascular,"ADRA2C, ADRA2L2"
Cardiovascular,"ADRB1, ADRB1R, RHR"
Ophthamological,PLG
Cardiovascular,"TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR"
Connective tissue,"FBN2, CCA"
Neurological,"MASS1, VLGR1, KIAA0686, FEB4, USH2C"
Respiratory,"MMP1, CLG"
Metabolic,CPO
Ophthamological,APOA1
Ophthamological,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
Ophthamological,"TACSTD2, TROP2, M1S1"
Ophthamological,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
Ophthamological,"VSX1, RINX, PPCD, PPD, KTCN"
Ophthamological,"COL8A2, FECD, PPCD2"
Ophthamological,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
Ophthamological,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
Ophthamological,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
